UVI,Hora
1.2,8
5,9
8.1,10
8.9,11
13.5,12
1,8
4.3,9
7,10
12.3,11
13,12
1.5,8
2.7,9
8,10
9.5,11
11.1,12
12.8,13
1,8
4,9
7.3,10
10.4,11
12.5,12
1.4,8
2.9,9
7.5,10
10.2,11
10.5,12
10.6,13
0.9,8
1.2,9
7.5,10
10.3,11
11.3,12
1.6,8
3.5,9
7.3,10
10,11
10.6,12
10.7,13
1.6,8
4,9
7.3,10
10.1,11
11.9,12
0.9,8
2.8,9
6.8,10
7.5,11
10,12
1,8
3.5,9
5.8,13
6.1,14
1,8
4,9
6.6,10
10,13
1,8
4.2,9
6.4,10
9.1,11
10.4,12
0.8,8
3.5,9
5.6,10
8.6,11
9.9,12
7.4,13
0.2,8
2.5,9
0.5,10
5.8,11
9.1,12
1,8
3.6,9
5.4,10
9.1,11
8.2,12
1.2,8
4.4,9
5.9,10
9,11
10,12
0.9,8
3.2,9
6.4,10
9.5,11
10.7,12
1.3,8
3.7,9
6,10
8.4,11
10.2,12
0.9,8
4.1,9
6.4,10
9.9,11
10.2,12
0.9,8
5,9
8.2,10
10.5,11
11.3,12
1.3,8
3.4,9
6.6,10
8.8,11
9.9,12
