indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,CantCoincidencia
106,-1.1722658879688936,0.2427708785209606,-0.1222220872886701,-0.0016964221332252,0.619630579448376,0,0,0,0,0,0,0,6
721,1.1849603649714464,-0.1134796945000689,-0.1539309231213255,0.4440248125480387,-0.1564630269136266,0,0,0,0,0,0,0,6
1119,-0.0293683107856984,-0.920980993347736,-3.9748456409563073,-3.1960319373489505,-0.3618995697741567,0,0,0,0,0,0,0,6
663,0.8635204213886729,0.2427708785209606,0.733916480193027,-0.818852019048876,0.7109357096086116,0,0,0,0,0,0,0,6
430,-1.838956141325757,0.4327711841321763,-0.3283295202009305,0.2211641952074067,0.7565882746887295,0,0,0,0,0,1,0,5
1111,-0.5055756346120297,4.612777907578923,-3.11870707347461,-1.814296109837032,-5.474986858747351,0,0,0,0,0,0,0,6
961,1.4587795761715872,-0.6834806113337161,-0.8039620576907623,0.1468773227605294,0.619630579448376,0,0,0,0,0,0,0,6
361,-0.7793948458121701,0.1240206875139507,0.0046132560419516,-0.1354127925376044,0.5283254492881405,0,0,0,0,0,0,0,6
1073,-0.2198512403162309,-1.8234824450010103,-0.81981647560709,-0.8039946445595005,0.0261472334068446,0,0,0,0,0,0,0,6
575,-0.2198512403162309,0.0527705729097448,0.8607518235236489,-0.9525683894532552,0.5511517318281994,0,0,0,0,0,0,0,6
99,-0.6484378317599291,-0.042229579895863,-0.3124751022846028,0.132019948271154,0.3000626238875514,0,0,0,0,0,0,0,6
631,1.292107012832371,-0.5172303439239024,0.4326825397828003,-0.5811340272188684,-0.0651578967533909,0,0,0,0,0,0,0,6
756,2.089754280241476,0.0290205347083428,-0.185639758953981,0.4737395615267897,-0.2249418745338033,0,0,0,0,0,0,0,6
744,0.244450900414442,-0.6122304967295102,-0.3600383560335859,0.2508789441861577,0.1174523635670802,0,0,0,0,0,0,0,6
431,-1.4698954653603509,0.5040212987363822,-0.2173485947866364,0.132019948271154,0.8707196873890242,0,0,0,0,0,0,0,6
111,-1.0889296062992857,0.3377710313265684,-0.1222220872886701,0.0131609523561502,0.7109357096086116,0,0,0,0,0,0,0,6
197,-0.9222570429600696,0.1002706493125487,0.1790118531215566,-0.2988439119207345,0.5283254492881405,0,0,0,0,0,0,0,6
544,1.256391463545396,-0.0659796180972649,0.559517883113422,-0.6702782741551211,0.391367754047787,0,0,0,0,0,0,0,6
204,-0.4817652684207131,0.1240206875139507,0.1948662710378843,-0.31370128641011,0.5739780143682583,0,0,0,0,0,0,0,6
400,-0.9936881415340192,0.2190208403195586,0.2107206889542121,-0.31370128641011,0.6881094270685527,0,0,0,0,0,0,0,6
899,0.1134938863622009,-0.3747301147154905,-1.1844680876826277,-0.1948422904951062,0.9620248175492596,0,0,0,0,0,0,0,6
933,0.7206582242407734,0.3140209931251664,1.8120168985033125,0.8451739237611764,-3.1010534745812253,0,0,0,0,0,0,0,6
851,0.1730198018404924,-0.042229579895863,0.1948662710378843,0.2360215696967822,-0.9325566332756292,0,0,0,0,0,0,0,6
627,1.6373573226064613,-0.3509800765140886,0.3692648681174893,-0.5217045292613665,0.0717997984869624,0,0,0,0,0,0,0,6
964,-0.3269978881771554,0.646521527944794,0.2265751068705398,-0.1205554180482289,-1.2977771539165717,0,0,0,0,0,0,0,6
1163,-1.874671690612732,0.1477707257153527,-0.185639758953981,0.5331690594842916,0.1859312111872569,0,1,1,1,1,1,1,0
1107,0.1849249849361507,0.931521986361618,-3.705320536378736,-2.7651680771570617,-2.073870760278574,0,0,0,0,0,0,0,6
572,0.9825722523452556,-0.5172303439239024,-0.1380765052049978,-0.0462685456013516,-0.1336367443735676,0,0,0,0,0,0,0,6
376,-0.4103341698467634,0.0527705729097448,-0.185639758953981,0.0280183268455257,0.414194036587846,0,0,0,0,0,0,0,6
112,-1.3151280851167928,0.2190208403195586,-0.0588044156233591,-0.061125920090727,0.619630579448376,0,0,0,0,0,0,0,6
377,-0.8746363105774365,0.1477707257153527,0.0838853456235902,-0.2096996649844817,0.5739780143682583,0,0,0,0,0,0,0,6
793,1.0659085340148635,-0.4934803057225004,0.0204676739582794,0.5628838084630425,0.0261472334068446,0,0,0,0,0,0,0,6
85,-1.1008347893949435,0.2902709549237645,-0.5661457889458464,0.4143100635692878,0.5739780143682583,0,0,0,0,0,0,0,6
188,-0.6722481979512457,0.1002706493125487,0.163157435205229,-0.283986537431359,0.5511517318281994,0,0,0,0,0,0,0,6
471,-0.7317741134295371,-0.2322298855070787,-0.5027281172805356,0.2954510676542841,0.1174523635670802,0,0,0,0,0,0,0,6
689,0.411123463753658,-0.042229579895863,0.6070811368624053,-0.7148503976232475,0.4370203191279048,0,0,0,0,0,0,0,6
288,0.0539679708839095,0.1715207639167546,-0.011241161874376,-0.1056980435588534,0.5739780143682583,0,0,0,0,0,0,0,6
9,-0.2912823388901806,0.1002706493125487,-0.0588044156233591,-0.0759832945801025,0.4826728842080227,0,0,0,0,0,0,0,6
1016,0.994477435440914,5.610279512037805,0.2265751068705398,3.950365192040649,-0.6358149602548635,0,0,0,0,0,0,0,6
97,-1.6365680286995663,0.0290205347083428,0.1473030172889012,-0.283986537431359,0.4598466016679637,0,0,0,0,0,0,0,6
74,-1.4698954653603509,0.2427708785209606,0.0521765097909349,-0.1502701670269798,0.6652831445284938,0,0,0,0,0,0,0,6
801,1.244486280449738,-0.9447310315491378,-0.2173485947866364,0.4885969360161651,0.2315837762673747,0,0,0,0,0,0,0,6
578,0.1730198018404924,0.1240206875139507,0.4009737039501448,-0.5217045292613665,0.5511517318281994,0,0,0,0,0,0,0,6
219,-0.8746363105774365,0.1952708021181566,-0.0905132514560146,-0.0462685456013516,0.5968042969083173,0,0,0,0,0,0,0,6
818,-0.7198689303338788,0.2665209167223626,1.4473652864277746,0.6817428043780462,-2.621701541239988,0,0,0,0,0,0,0,6
146,-1.4103695498820592,0.3377710313265684,0.0046132560419516,-0.1056980435588534,0.7337619921486705,0,0,0,0,0,0,0,6
928,0.494459745423266,0.0765206111111468,2.240086182244161,1.186893537016812,-3.489100277762226,0,0,0,0,0,0,0,6
195,-0.43414453603808,0.0765206111111468,0.1314485993725735,-0.2542717884526081,0.5054991667480816,0,0,0,0,0,0,0,6
337,0.0896835201708843,0.1715207639167546,-0.1063676693723423,-0.0314111711119761,0.5511517318281994,0,0,0,0,0,0,0,6
62,-1.838956141325757,0.2427708785209606,-0.5661457889458464,0.3994526890799123,0.5283254492881405,0,1,0,0,0,1,1,3
549,1.0897189002061802,-0.2559799237084807,0.559517883113422,-0.699993023133872,0.2087574937273158,0,0,0,0,0,0,0,6
1132,-1.136550338681919,-0.5884804585281083,2.0656875851645564,-1.91829773126266,-1.434734849156925,1,0,0,0,0,0,0,0
284,-0.6841533810469039,0.2427708785209606,0.1948662710378843,-0.283986537431359,0.6881094270685527,0,0,0,0,0,0,0,6
897,0.2801664497014169,-0.4697302675210985,-1.6601006251724597,-0.3285586608994855,1.6468132937510267,0,0,0,0,0,0,0,6
330,-0.7913000289078285,0.3377710313265684,0.163157435205229,-0.2394144139632327,0.7794145572287884,0,0,0,0,0,0,0,6
427,-0.8508259443861199,0.2190208403195586,-0.2173485947866364,0.0725904503136521,0.5739780143682583,0,0,0,0,0,0,0,6
782,1.2206759142584211,-0.5409803821253043,-0.6295634606111574,0.2805936931649087,0.3228889064276103,0,0,0,0,0,0,0,6
154,-0.934162226055728,0.2190208403195586,-0.0746588335396869,-0.0462685456013516,0.619630579448376,0,0,0,0,0,0,0,6
628,1.4706847592672452,-0.2797299619098827,0.3217016143685062,-0.4622750313038646,0.1402786461071391,0,0,0,0,0,0,0,6
76,-1.4698954653603509,-0.042229579895863,-0.1539309231213255,-0.0016964221332252,0.3457151889676693,0,0,0,0,0,0,0,6
1043,-0.0293683107856984,2.4990245076541475,0.3217016143685062,2.0931933808687155,0.2087574937273158,0,0,0,0,0,0,0,6
623,0.8635204213886729,-0.6122304967295102,1.590055047674724,-1.6657223649432773,-0.042331614213332,0,0,0,0,0,0,0,6
416,-0.4103341698467634,0.3852711077293724,-0.3758927739499137,0.2657363186755332,0.7109357096086116,0,0,0,0,0,0,0,6
879,2.7088238012157064,-1.657232177591197,0.5436634651970943,1.2760377839530648,-0.6129886777148046,0,0,0,0,0,0,0,6
313,-0.8984466767687531,0.2902709549237645,0.2741383606195229,-0.3434160353888609,0.7794145572287884,0,0,0,0,0,0,0,6
214,-0.6722481979512457,0.4090211459307744,0.0680309277072626,-0.1354127925376044,0.8478934048489651,0,0,0,0,0,0,0,6
962,-0.4103341698467634,0.8602718717574119,-0.2490574306192919,-0.4474176568144891,-0.7955989380352759,0,0,0,0,0,0,0,6
821,-1.3151280851167928,-0.8259808405421281,1.9388522418339345,1.5137557757830724,-2.6901803888601648,0,0,0,0,0,0,0,6
0,-0.0055579445943818,-0.1134796945000689,-0.185639758953981,0.0131609523561502,0.2544100588074336,0,0,0,0,0,0,0,6
391,-0.0888942262639898,0.4090211459307744,-0.2490574306192919,0.1468773227605294,0.7565882746887295,0,0,0,0,0,0,0,6
842,0.7682789566234066,0.5515213751391862,1.9388522418339345,0.7857444258036744,-3.374968865061932,0,0,0,0,0,0,0,6
443,-0.1246097755509647,-0.2797299619098827,-0.5027281172805356,0.2954510676542841,0.0717997984869624,0,0,0,0,0,0,0,6
1136,0.2206405342231254,-0.0659796180972649,2.3986303614074385,-2.3343042169651733,-1.1151668935961003,1,0,0,0,0,0,0,0
726,0.5658908439972157,-0.1372297327014709,-0.3283295202009305,0.3103084421436595,-0.2021155919937444,0,0,0,0,0,0,0,6
1029,1.2325810973540794,0.1715207639167546,-2.0088978193316698,0.1468773227605294,-2.439091280919517,0,0,0,0,0,0,0,6
140,-0.6841533810469039,0.3377710313265684,-0.0270955797907037,-0.0759832945801025,0.7337619921486705,0,0,0,0,0,0,0,6
868,0.6492271256668237,-1.7522323303968046,-0.0270955797907037,1.0828919155911838,0.1174523635670802,0,0,0,0,0,0,0,6
826,0.8635204213886729,0.8127717953546079,2.7315731376503205,1.0828919155911838,-4.4478041444447,0,0,0,0,0,0,0,6
364,-0.4698600853250548,0.1952708021181566,-0.0270955797907037,-0.090840669069478,0.5968042969083173,0,0,0,0,0,0,0,6
1006,1.5421158578411949,4.185277219953687,-0.6295634606111574,2.895491603294991,-1.4803874142370428,0,0,0,0,0,0,0,6
350,0.1611146187448341,0.0527705729097448,-0.0429499977070315,-0.1056980435588534,0.4370203191279048,0,0,0,0,0,0,0,6
620,1.173055181875788,-0.3984801529168925,1.5107829580930856,-1.5914354924963998,0.1859312111872569,0,0,0,0,0,0,0,6
419,-0.7674896627165119,0.4327711841321763,-0.2807662664519473,0.1765920717392803,0.7794145572287884,0,0,0,0,0,0,0,6
1173,-1.779430225847466,0.4327711841321763,-0.4076016097825692,0.6817428043780462,-0.1792893094536854,0,1,1,1,1,1,1,0
348,-0.0293683107856984,0.0765206111111468,-0.0429499977070315,-0.1056980435588534,0.4826728842080227,0,0,0,0,0,0,0,6
31,-0.267471972698864,0.0765206111111468,-0.2332030127029642,0.0725904503136521,0.4370203191279048,0,0,0,0,0,0,0,6
629,1.339727745215004,-0.2322298855070787,0.385119286033817,-0.5217045292613665,0.2087574937273158,0,0,0,0,0,0,0,6
404,-1.5056110146473254,0.1240206875139507,-0.011241161874376,-0.1205554180482289,0.5283254492881405,0,0,0,0,0,0,0,6
591,1.9468920830935763,-1.1109812989589516,0.7180620622766992,-0.8782815170063777,-0.6358149602548635,0,0,0,0,0,0,0,6
762,0.7206582242407734,-0.73098068773652,-0.3124751022846028,0.3400231911224105,0.1859312111872569,0,0,0,0,0,0,0,6
533,0.0539679708839095,-0.018479541694461,-0.3441839381172583,0.1765920717392803,0.3228889064276103,0,0,0,0,0,0,0,6
263,-0.2912823388901806,0.3852711077293724,-0.3441839381172583,0.2211641952074067,0.7109357096086116,0,0,0,0,0,0,0,6
534,-0.1007994093596481,-0.042229579895863,-0.4234560276988969,0.2360215696967822,0.2772363413474926,0,0,0,0,0,0,0,6
918,-0.8627311274817782,-0.2322298855070787,0.7022076443603716,0.5925985574417935,-1.457561131696984,0,0,0,0,0,0,0,6
148,-1.398464366786401,-0.018479541694461,-0.1222220872886701,-0.0314111711119761,0.3457151889676693,0,0,0,0,0,0,0,6
557,-0.2555667896032058,0.3140209931251664,1.1619857639338755,-1.2200011302620135,0.8478934048489651,0,0,0,0,0,0,0,6
789,1.042098167823547,-0.4934803057225004,0.1948662710378843,0.7114575533567972,0.0261472334068446,0,0,0,0,0,0,0,6
1172,-1.1246451555862604,-2.7972340112584915,0.1314485993725735,-1.2497158792407643,0.9848511000893184,0,0,0,0,0,0,0,6
257,-0.1484201417422812,0.0765206111111468,-0.011241161874376,-0.1205554180482289,0.4826728842080227,0,0,0,0,0,0,0,6
425,-1.3032229020211346,0.1240206875139507,-0.3917471918662414,0.2211641952074067,0.4598466016679637,0,0,0,0,0,0,0,6
223,-0.3865238036554468,0.2427708785209606,0.0046132560419516,-0.1205554180482289,0.6424568619884349,0,0,0,0,0,0,0,6
308,-1.4341799160733757,0.2902709549237645,0.163157435205229,-0.2542717884526081,0.7337619921486705,0,0,0,0,0,0,0,6
1054,0.5658908439972157,2.9740252716821867,-0.6137090426948296,2.167480253315593,-1.183645741216277,0,0,0,0,0,0,0,6
1082,0.8635204213886729,-3.058484431473913,-0.3600383560335859,-1.2794306282195154,1.16746136040979,0,0,0,0,0,0,0,6
294,-1.0174985077253358,0.1952708021181566,0.163157435205229,-0.2691291629419836,0.6424568619884349,0,0,0,0,0,0,0,6
1047,1.6492625057021195,3.3302758447032166,-0.8832341472724009,2.330911372698723,-1.640171392017455,0,0,0,0,0,0,0,6
672,0.8278048721016981,-0.1372297327014709,0.5753723010297498,-0.6851356486444966,0.3228889064276103,0,0,0,0,0,0,0,6
287,-0.0769890431683315,0.0765206111111468,0.0046132560419516,-0.1354127925376044,0.4826728842080227,0,0,0,0,0,0,0,6
